stone;water_absorbance;effective_water_absorbance;natural_water_content;degree_of_saturation;dry_density;saturated_density;natural_density;mineral_grain_density;effective_porosity;total_porosity;void_ratio;ucs;its;plt;bohme;schmidt;ultrasonic_wave
Crystal Vitric Tuff;12.27;7.67;3.66;29.8;1.63;1.83;1.69;2.04;20;20;24.99;44.07;3.85;2.54;26.15;59;2.93
Vitric Lithic Tuff;6.07;5.46;0.28;4.57;1.99;2.11;2;2.27;12.09;12.09;13.76;96.08;5.18;3.71;9.75;78.75;2.77
Lamprofir;2.88;1.24;1.6;55.62;2.43;2.5;2.47;2.61;7;7;7.53;100.38;7.42;7.66;9.15;79.5;5.51
